"Borough","Measurement","Postcode","Latitude","Longitude","Address","School.Name","Jan.Ave","Feb.Ave","Mar.Ave","Apr.Ave","May.Ave","Jun.Ave","Jul.Ave","Aug.Ave","Sep.Ave","Oct.Ave","Nov.Ave","Dec.Ave"
"Bronx","Total Usage (mmBTUs)",10464,40.843873,-73.785219,"200 City Island Ave ","The City Island School",165.52,154.16,180.6,241.05,212.33,178.57,232.13,180.64,179.32,207.93,193.71,182.1
"Brooklyn","Gas (Therms)",11207,40.674135,-73.89643,"145 Pennsylvania Ave ","William H. Maxwell High School?",20819.75,11319.5,2982,552.75,242,390.33,108,4218,13405,27288.25,31213.75,34279
"Bronx","Electricity Demand (KW)",10453,40.85881,-73.909746,"2195 Andrews Ave ","Institute for Environmental Learning",383.16,415.6,390.04,660.6,731.84,606.08,650,608.04,396.36,396.24,394.64,384.12
"Bronx","Electricity Usage (KWH)",10453,40.85881,-73.909746,"2195 Andrews Ave ","Institute for Environmental Learning",198800,152000,140200,203400,262666.67,219733.33,192000,156400,166000,205600,203200,207000
"Bronx","Gas (Therms)",10453,40.85881,-73.909746,"2195 Andrews Ave ","Institute for Environmental Learning",14703,5399.5,2028.75,943.75,455.67,324.33,843.25,2249.75,5824.25,13272.5,21092.25,19858.5
"Brooklyn","Electricity Demand (KW)",11228,40.610963,-74.013376,"1400 Benson Ave ","Dyker School",295,275.2,324.2,404.2,360,306.67,348.6,322.6,267.8,293.6,305.6,298.2
"Bronx","Total Usage (mmBTUs)",10453,40.85881,-73.909746,"2195 Andrews Ave ","Institute for Environmental Learning",2148.8,1058.72,681.38,788.57,942.04,782.38,739.62,758.76,1148.98,2028.95,2802.74,2692.34
"Bronx","Electricity Demand (KW)",10463,40.880263,-73.910466,"360 West 230th St ","The Multiple Intelligence School",290,282,376,390,410.67,361.33,347,299,212,194,228,247
"Bronx","Electricity Usage (KWH)",10463,40.880263,-73.910466,"360 West 230th St ","The Multiple Intelligence School",82700,73500,104500,145500,172933.33,162800,144900,106400,87700,93100,86000,88500
"Bronx","Gas (Therms)",10463,40.880263,-73.910466,"360 West 230th St ","The Multiple Intelligence School",4041,1763.25,307,270.5,213.33,177.33,217.75,606,1626.75,6399.25,7147.5,7632.75
"Bronx","Total Usage (mmBTUs)",10463,40.880263,-73.910466,"360 West 230th St ","The Multiple Intelligence School",686.35,427.18,387.36,523.64,611.55,573.36,516.32,423.74,461.99,957.67,1008.27,1065.32
"Bronx","Electricity Demand (KW)",10467,40.870002,-73.878875,"3050 Webster Ave ","George J. Werdan III School",460.5,460.3,570.3,756.4,699.47,705.47,763.3,704.7,511.5,461.4,453.8,427.4
"Bronx","Electricity Usage (KWH)",10467,40.870002,-73.878875,"3050 Webster Ave ","George J. Werdan III School",156600,126350,143150,231000,233933.33,258400,221400,167700,154800,160900,173050,184800
"Bronx","Gas (Therms)",10467,40.870002,-73.878875,"3050 Webster Ave ","George J. Werdan III School",12952.75,4897.5,1585.25,433.5,233.33,1106.33,1577,3193.5,11691,18354.75,18630.5,16801.25
"Queens","Electricity Demand (KW)",11385,40.703779,-73.896374,"60-85 Catalpa Ave ","Seneca School",248,243,337,352,340,309.33,365,322,237,261,264,261
"Bronx","Total Usage (mmBTUs)",10467,40.870002,-73.878875,"3050 Webster Ave ","George J. Werdan III School",1829.75,920.98,647.09,831.75,821.74,992.55,913.33,891.71,1697.43,2384.62,2453.66,2310.85
"Brooklyn","Electricity Cost ($)",11207,40.663673,-73.893754,"557 Pennsylvania Ave ","Roberto Clemente School",13746.51,12345.3,16819.97,22201.02,19209.64,17417.69,20836.21,17914.98,13814.96,13711.15,13334.05,13505.14
"Brooklyn","Electricity Demand (KW)",11207,40.663673,-73.893754,"557 Pennsylvania Ave ","Roberto Clemente School",255,249,369,448,388,358.67,465,409,300,265,259,257
"Brooklyn","Electricity Usage (KWH)",11207,40.663673,-73.893754,"557 Pennsylvania Ave ","Roberto Clemente School",74300,63600,75400,104500,92800,86666.67,96700,84000,74400,79700,72100,74000
"Brooklyn","Gas (Therms)",11207,40.663673,-73.893754,"557 Pennsylvania Ave ","Roberto Clemente School",25.5,69.25,27.25,43.75,57,61,16.25,107.25,29.5,81,26,87.25
"Brooklyn","Total Usage (mmBTUs)",11207,40.663673,-73.893754,"557 Pennsylvania Ave ","Roberto Clemente School",256.13,223.99,260.06,361.03,322.43,301.89,331.66,297.41,256.88,280.11,248.67,261.28
"Brooklyn","Electricity Demand (KW)",11221,40.693161,-73.935765,"990 Dekalb Ave ","Thaddeus Stevens School",201.6,182.4,194.4,262.8,256.8,213.6,265.2,227.4,203.4,200.4,199.2,201
"Brooklyn","Electricity Usage (KWH)",11221,40.693161,-73.935765,"990 Dekalb Ave ","Thaddeus Stevens School",58620,51480,56940,66060,57680,69120,63540,61920,65820,62460,59220,57840
"Brooklyn","Gas (Therms)",11221,40.693161,-73.935765,"990 Dekalb Ave ","Thaddeus Stevens School",4479,2964,1883,468.5,78.67,335.33,114.75,726.75,1545.75,2919.75,3838,5103
"Brooklyn","Total Usage (mmBTUs)",11221,40.693161,-73.935765,"990 Dekalb Ave ","Thaddeus Stevens School",647.97,472.1,382.64,272.31,204.73,269.44,228.34,284,379.21,505.15,585.92,707.71
"Brooklyn","Electricity Demand (KW)",11223,40.601433,-73.986139,"1855 Stillwell Ave ","The Highlawn School",166.3,197.1,217.5,258.9,226,187.87,237.5,217.6,172.7,173.6,173.2,173.6
"Brooklyn","Electricity Usage (KWH)",11223,40.601433,-73.986139,"1855 Stillwell Ave ","The Highlawn School",46400,40030,44800,57850,55653.33,45240,55120,45150,45920,50380,47730,48320
"Brooklyn","Total Usage (mmBTUs)",11223,40.601433,-73.986139,"1855 Stillwell Ave ","The Highlawn School",175.61,145.72,165.68,202.97,201.88,157.8,198.25,158.82,167.07,177.75,184.8,171.22
"Brooklyn","Electricity Demand (KW)",11235,40.579451,-73.943819,"131 Irwin St ","Manhattan Beach School",92.4,88,91.6,103.6,85.33,62.4,103.6,100.4,89.6,92,94.4,94
"Brooklyn","Electricity Usage (KWH)",11235,40.579451,-73.943819,"131 Irwin St ","Manhattan Beach School",26400,22240,24840,28680,17600,17653.33,26040,26320,25080,25240,25080,25280
"Brooklyn","Gas (Therms)",11235,40.579451,-73.943819,"131 Irwin St ","Manhattan Beach School",14590.25,7602,2053.75,1432.25,93.33,309.67,108.75,2660.5,8435.25,14355.75,16394.25,20738
"Brooklyn","Total Usage (mmBTUs)",11235,40.579451,-73.943819,"131 Irwin St ","Manhattan Beach School",1549.13,836.1,290.15,241.11,69.4,91.22,99.75,355.88,929.12,1521.72,1725.02,2160.08
"Brooklyn","Electricity Usage (KWH)",11228,40.610963,-74.013376,"1400 Benson Ave ","Dyker School",110220,99980,99960,137420,134773.33,128933.33,115340,110740,108980,136280,126740,135860
"Brooklyn","Gas (Therms)",11228,40.610963,-74.013376,"1400 Benson Ave ","Dyker School",5280.75,3337.75,977.75,4795.75,264,138,54.5,598.25,2238.5,5027.5,6486.25,10202.75
"Brooklyn","Total Usage (mmBTUs)",11228,40.610963,-74.013376,"1400 Benson Ave ","Dyker School",904.25,675,438.94,948.59,486.38,453.85,399.1,437.78,595.8,967.87,1081.18,1483.96
"Brooklyn","Electricity Demand (KW)",11225,40.669339,-73.960675,"976 President St ","Emma Johnston PS 241",100,95,90,142,133.33,136,112,99,97,101,106,101
"Brooklyn","Electricity Usage (KWH)",11225,40.669339,-73.960675,"976 President St ","Emma Johnston PS 241",32300,28100,28400,35800,36000,36000,29900,31900,32100,34400,32800,33500
"Brooklyn","Gas (Therms)",11225,40.669339,-73.960675,"976 President St ","Emma Johnston PS 241",7736,4569.75,1116,591,137,361.33,294.25,2112.25,3547.5,6289,9390.5,9209.75
"Brooklyn","Total Usage (mmBTUs)",11225,40.669339,-73.960675,"976 President St ","Emma Johnston PS 241",883.84,552.88,208.53,181.28,136.57,159,131.47,320.1,464.31,746.31,1050.99,1035.31
